array,pole_moment,height_in,B_T,pwm_freq_hz,torque_Nm,ang_accel_rps2,status
20x10 @ 1.2cm,0.05,0.5,1.539017476,50,2.35E-06,0.070503058,MARGINAL
20x10 @ 1.2cm,0.05,0.5,1.539017476,100,4.70E-06,0.141006116,MARGINAL
20x10 @ 1.2cm,0.05,0.5,1.539017476,500,2.35E-05,0.705030579,MARGINAL
20x10 @ 1.2cm,0.05,0.5,1.539017476,1000,4.70E-05,1.410061159,MARGINAL
20x10 @ 1.2cm,0.05,0.5,1.539017476,2000,9.40E-05,2.820122317,MARGINAL
20x10 @ 1.2cm,0.05,0.5,1.539017476,5000,0.00023501,7.050305793,MARGINAL
20x10 @ 1.2cm,0.05,0.5,1.539017476,10000,0.00047002,14.10061159,MARGINAL
20x10 @ 1.2cm,0.1,0.5,0.769520591,50,5.88E-07,0.017626307,PRACTICAL
20x10 @ 1.2cm,0.1,0.5,0.769520591,100,1.18E-06,0.035252615,PRACTICAL
20x10 @ 1.2cm,0.1,0.5,0.769520591,500,5.88E-06,0.176263075,PRACTICAL
20x10 @ 1.2cm,0.1,0.5,0.769520591,1000,1.18E-05,0.35252615,PRACTICAL
20x10 @ 1.2cm,0.1,0.5,0.769520591,2000,2.35E-05,0.7050523,PRACTICAL
20x10 @ 1.2cm,0.1,0.5,0.769520591,5000,5.88E-05,1.762630749,PRACTICAL
20x10 @ 1.2cm,0.1,0.5,0.769520591,10000,0.000117509,3.525261498,PRACTICAL
20x10 @ 1.2cm,0.2,0.5,0.384772149,50,1.47E-07,0.004406848,PRACTICAL
20x10 @ 1.2cm,0.2,0.5,0.384772149,100,2.94E-07,0.008813697,PRACTICAL
20x10 @ 1.2cm,0.2,0.5,0.384772149,500,1.47E-06,0.044068484,PRACTICAL
20x10 @ 1.2cm,0.2,0.5,0.384772149,1000,2.94E-06,0.088136968,PRACTICAL
20x10 @ 1.2cm,0.2,0.5,0.384772149,2000,5.88E-06,0.176273935,PRACTICAL
20x10 @ 1.2cm,0.2,0.5,0.384772149,5000,1.47E-05,0.440684838,PRACTICAL
20x10 @ 1.2cm,0.2,0.5,0.384772149,10000,2.94E-05,0.881369676,PRACTICAL
20x10 @ 1.2cm,0.5,0.5,0.153907825,50,2.35E-08,0.000705086,PRACTICAL
20x10 @ 1.2cm,0.5,0.5,0.153907825,100,4.70E-08,0.001410173,PRACTICAL
20x10 @ 1.2cm,0.5,0.5,0.153907825,500,2.35E-07,0.007050863,PRACTICAL
20x10 @ 1.2cm,0.5,0.5,0.153907825,1000,4.70E-07,0.014101725,PRACTICAL
20x10 @ 1.2cm,0.5,0.5,0.153907825,2000,9.40E-07,0.02820345,PRACTICAL
